,depth,table,x,y,z,price,carat,cut,color,clarity,city
0,62.4,58.0,6.83,6.79,4.25,4268,1.21,Premium,J,VS2,Dubai
1,61.6,58.0,6.4,6.35,3.93,3513,1.02,Premium,J,VS2,Dubai
2,62.3,58.0,5.86,5.8,3.63,1792,0.77,Premium,J,VS2,Dubai
3,59.6,60.0,7.58,7.48,4.49,7553,1.51,Premium,J,VS2,Dubai
4,60.2,62.0,5.4,5.33,3.23,1176,0.57,Premium,J,VS2,Dubai
5,62.8,58.0,5.77,5.71,3.6,1654,0.73,Premium,J,VS2,Dubai
6,59.9,57.0,7.56,7.52,4.52,6629,1.57,Premium,J,VS2,Dubai
7,61.9,58.0,5.35,5.38,3.32,1287,0.59,Very Good,J,VS2,Dubai
8,62.9,58.0,5.83,5.87,3.68,2155,0.77,Very Good,J,VS2,Dubai
9,63.2,60.0,5.06,5.01,3.18,1059,0.5,Very Good,J,VS2,Dubai
10,62.5,60.0,4.67,4.71,2.93,596,0.4,Very Good,J,VS2,Dubai
11,62.4,57.0,8.04,8.19,5.06,13825,2.04,Very Good,J,VS2,Dubai
12,67.4,58.0,5.34,5.37,3.61,1896,0.7,Fair,J,VS2,Dubai
13,65.0,56.0,6.08,6.04,3.94,2815,0.9,Fair,J,VS2,Dubai
14,63.1,61.0,7.19,7.23,4.55,6982,1.52,Good,J,VS2,Dubai
15,63.4,57.0,4.22,4.26,2.69,368,0.3,Good,J,VS2,Dubai
16,57.4,60.0,6.76,6.72,3.87,3844,1.04,Good,J,VS2,Dubai
17,64.0,59.0,4.64,4.71,2.99,565,0.41,Good,J,VS2,Dubai
18,61.4,57.0,7.13,7.1,4.37,5969,1.35,Ideal,J,VS2,Dubai
19,61.8,55.0,6.84,6.86,4.23,5318,1.2,Ideal,J,VS2,Dubai
20,59.6,57.0,6.98,6.94,4.15,4968,1.21,Ideal,J,VS2,Dubai
21,62.4,55.0,6.59,6.64,4.13,4537,1.1,Ideal,J,VS2,Dubai
22,60.7,56.0,6.17,6.12,3.73,2376,0.84,Ideal,J,VS2,Dubai
23,60.5,57.0,8.26,8.2,4.98,14083,2.03,Ideal,J,VS2,Dubai
24,62.0,56.0,8.06,8.13,5.02,12832,2.02,Ideal,J,VS2,Dubai
25,61.4,57.0,4.72,4.66,2.88,746,0.39,Ideal,J,VS2,Dubai
26,59.1,58.0,4.39,4.37,2.59,844,0.3,Premium,E,VS2,Dubai
27,61.9,58.0,4.45,4.43,2.75,956,0.34,Premium,E,VS2,Dubai
28,60.9,58.0,6.53,6.47,3.96,7522,1.01,Premium,E,VS2,Dubai
29,61.8,58.0,5.85,5.83,3.61,3150,0.75,Premium,E,VS2,Dubai
30,60.3,58.0,5.15,5.13,3.1,1920,0.5,Premium,E,VS2,Dubai
31,62.8,62.0,6.29,6.26,3.94,6272,1.0,Premium,E,VS2,Dubai
32,60.6,59.0,4.36,4.39,2.65,680,0.31,Premium,E,VS2,Dubai
33,62.0,58.0,4.54,4.56,2.82,789,0.36,Premium,E,VS2,Dubai
34,62.0,59.0,4.27,4.31,2.66,658,0.3,Premium,E,VS2,Dubai
35,59.6,56.0,3.93,3.89,2.33,386,0.21,Premium,E,VS2,Dubai
36,60.7,60.0,4.7,4.75,2.87,912,0.4,Premium,E,VS2,Dubai
37,62.1,58.0,4.29,4.31,2.67,658,0.3,Premium,E,VS2,Dubai
38,62.0,60.0,5.76,5.73,3.56,2902,0.73,Premium,E,VS2,Dubai
39,62.3,59.0,6.38,6.33,3.96,5430,1.01,Premium,E,VS2,Dubai
40,59.5,58.0,7.53,7.46,4.46,14386,1.5,Premium,E,VS2,Dubai
41,59.9,59.0,4.38,4.33,2.61,844,0.3,Premium,E,VS2,Dubai
42,61.7,60.0,4.31,4.28,2.65,731,0.3,Premium,E,VS2,Dubai
43,62.9,58.0,4.27,4.22,2.67,844,0.3,Premium,E,VS2,Dubai
44,61.6,59.0,6.62,6.54,4.05,7813,1.09,Premium,E,VS2,Dubai
45,61.0,60.0,4.85,4.82,2.95,1024,0.42,Premium,E,VS2,Dubai
46,60.8,57.0,5.42,5.37,3.28,2177,0.59,Premium,E,VS2,Dubai
47,62.7,56.0,7.18,7.1,4.48,11644,1.41,Premium,E,VS2,Dubai
48,62.5,61.0,5.78,5.64,3.59,2862,0.73,Premium,E,VS2,Dubai
49,61.0,58.0,5.31,5.34,3.25,1851,0.57,Premium,E,VS2,Dubai
50,62.5,59.0,5.06,5.11,3.18,1656,0.51,Premium,E,VS2,Dubai
51,62.2,59.0,6.82,6.78,4.23,8602,1.2,Premium,E,VS2,Dubai
52,60.6,59.0,5.17,5.06,3.1,1654,0.5,Premium,E,VS2,Dubai
